Set,color,num_critic_for_reviews,duration,gross,movie_title,num_voted_users,num_user_for_reviews,language,content_rating,budget,title_year,imdb_score,aspect_ratio,movies_made,main_genre,num_genre,num_top_actors,num_pop_actors
train,1,644,124,652177271,Jurassic World ,418214,1290,English,PG13,150000000,2015,7,2,2,Action,4,1,0
train,1,300,135,373377893,Spider-Man 2 ,411164,1303,English,PG13,200000000,2004,7.3,2.35,9,Action,4,3,1
train,1,608,195,408992272,Iron Man 3 ,557489,1187,English,PG13,200000000,2013,7.2,2.35,2,Action,3,3,1
train,1,451,108,334185206,Alice in Wonderland ,306320,736,English,PG,200000000,2010,6.5,1.85,14,Adventure,3,2,2
train,1,376,104,268488329,Monsters University ,235025,265,English,G,200000000,2013,7.3,1.85,1,Adventure,5,1,0
train,1,366,150,402076689,Transformers: Revenge of the Fallen ,323207,1439,English,PG13,200000000,2009,6,2.35,12,Action,3,0,0
train,1,378,165,245428137,Transformers: Age of Extinction ,242420,918,English,PG13,210000000,2014,5.7,2.35,12,Action,3,0,0
train,1,525,130,234903076,Oz the Great and Powerful ,175409,511,English,PG,215000000,2013,6.4,2.35,9,Adventure,3,1,1
train,1,495,142,202853933,The Amazing Spider-Man 2 ,321227,1067,English,PG13,200000000,2014,6.7,2.35,3,Action,4,1,0
train,1,469,125,172051787,TRON: Legacy ,264183,665,English,PG,170000000,2010,6.8,2.35,2,Action,3,2,0
train,1,453,103,414984497,Toy Story 3 ,544884,733,English,G,200000000,2010,8.3,1.85,1,Adventure,5,1,0
train,1,424,140,350034110,Furious 7 ,278232,657,English,PG13,190000000,2015,7.2,2.35,7,Action,3,3,2
train,1,654,123,202351611,World War Z ,465019,995,English,PG13,190000000,2013,7,2.35,7,Action,5,1,0
train,1,539,149,233914986,X-Men: Days of Future Past ,514125,752,English,PG13,200000000,2014,8,2.35,7,Action,5,3,3
train,1,590,132,228756232,Star Trek Into Darkness ,395573,1171,English,PG13,190000000,2013,7.8,2.35,4,Action,3,1,1
train,1,338,114,65171860,Jack the Giant Slayer ,106416,205,English,PG13,195000000,2013,6.3,2.35,7,Adventure,2,0,0
train,1,306,116,90755643,Prince of Persia: The Sands of Time ,222403,453,English,PG13,200000000,2010,6.6,2.35,5,Action,4,1,0
train,1,575,131,101785482,Pacific Rim ,381148,1106,English,PG13,190000000,2013,7,1.85,4,Action,3,1,0
train,1,428,154,352358779,Transformers: Dark of the Moon ,326180,899,English,PG13,195000000,2011,6.3,2.35,12,Action,3,0,0
train,1,470,122,317011114,Indiana Jones and the Kingdom of the Crystal Skull ,333847,2054,English,PG13,185000000,2008,6.2,2.35,24,Action,3,1,0
train,1,298,93,123070338,The Good Dinosaur ,62836,345,English,PG,59724238.490639314,2015,6.8,2.35,1,Adventure,5,0,0
train,1,488,93,237282182,Brave ,273556,428,English,PG,185000000,2012,7.2,2.35,1,Adventure,5,0,0
train,1,421,98,223806889,WALL·E ,718837,1043,English,G,180000000,2008,8.4,2.35,3,Adventure,4,1,0
train,1,162,91,140080850,Rush Hour 3 ,121084,221,English,PG13,140000000,2007,6.2,2.35,7,Action,4,0,0
train,1,367,158,166112167,2012 ,283418,1055,English,PG13,200000000,2009,5.8,2.35,7,Action,3,1,0
train,1,240,96,137850096,A Christmas Carol ,72809,249,English,PG,200000000,2009,6.8,2.35,13,Animation,4,2,0
train,1,384,127,47375327,Jupiter Ascending ,139593,720,English,PG13,176000000,2015,5.4,2.35,5,Action,3,1,0
train,1,248,110,124051759,The Legend of Tarzan ,42372,239,English,PG13,180000000,2016,6.6,2.35,1,Action,4,0,0
train,1,284,150,291709845,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe ",286506,1463,English,PG,180000000,2005,6.9,2.35,4,Adventure,3,0,0
train,1,486,126,318298180,Iron Man ,696338,1055,English,PG13,140000000,2008,7.9,2.35,5,Action,3,3,1
train,1,682,126,73820094,Hugo ,245333,678,English,PG,170000000,2011,7.5,1.85,20,Adventure,4,2,0
train,1,85,106,113745408,Wild Wild West ,129601,648,English,PG13,170000000,1999,4.8,1.85,7,Action,4,2,0
train,1,264,112,102176165,The Mummy: Tomb of the Dragon Emperor ,117927,501,English,PG13,145000000,2008,5.2,2.35,9,Action,5,1,0
train,1,418,123,161087183,Suicide Squad ,118992,971,English,PG13,175000000,2016,6.9,2.35,6,Action,4,1,0
train,1,186,96,100289690,Evan Almighty ,115099,257,English,PG,175000000,2007,5.4,2.35,7,Comedy,3,2,1
train,1,585,113,100189501,Edge of Tomorrow ,431620,741,English,PG13,178000000,2014,7.9,2.35,7,Action,3,1,0
train,1,91,176,88246220,Waterworld ,144337,309,English,PG13,175000000,1995,6.1,1.85,4,Action,4,0,0
train,1,250,118,150167630,G.I. Joe: The Rise of Cobra ,174578,534,English,PG13,175000000,2009,5.8,2.35,4,Action,4,2,1
train,1,453,124,312057433,Iron Man 2 ,522371,723,English,PG13,200000000,2010,7,2.35,5,Action,3,3,2
train,1,416,132,155111815,Snow White and the Huntsman ,228554,710,English,PG13,170000000,2012,6.1,2.35,1,Action,4,2,1
train,1,401,97,241407328,Maleficent ,252257,634,English,PG,180000000,2014,7,2.35,1,Action,5,1,0
train,1,521,130,208543795,Dawn of the Planet of the Apes ,317542,620,English,PG13,170000000,2014,7.6,1.85,3,Action,4,2,0
train,1,218,128,38297305,47 Ronin ,116994,324,English,PG13,175000000,2013,6.3,2.35,1,Action,4,1,0
train,1,576,136,259746958,Captain America: The Winter Soldier ,496749,742,English,PG13,170000000,2014,7.8,2.35,4,Action,3,1,1
train,1,226,93,238371987,Shrek Forever After ,138661,173,English,PG,165000000,2010,6.4,2.35,4,Adventure,5,0,0
train,1,443,130,93417865,Tomorrowland ,128306,497,English,PG,190000000,2015,6.5,2.2,5,Action,5,1,0
train,1,384,102,222487711,Big Hero 6 ,279093,433,English,PG,165000000,2014,7.9,2.39,1,Action,7,0,0
train,1,188,100,665426,The Polar Express ,120798,444,English,G,165000000,2004,6.6,2.35,13,Adventure,4,1,0
train,1,286,120,102315545,Independence Day: Resurgence ,58137,520,English,PG13,165000000,2016,5.5,2.35,7,Action,3,1,0
train,1,653,121,333130696,Guardians of the Galaxy ,682155,1097,English,PG13,170000000,2014,8.1,2.35,2,Action,3,3,0
train,1,712,169,187991439,Interstellar ,928227,2725,English,PG13,165000000,2014,8.6,2.35,8,Adventure,3,2,0
train,1,642,148,292568851,Inception ,1468200,2803,English,PG13,160000000,2010,8.8,2.35,8,Action,4,2,3
train,1,645,182,303001229,The Hobbit: An Unexpected Journey ,637246,1367,English,PG13,180000000,2012,7.9,2.35,5,Adventure,2,0,0
train,1,187,106,144512310,The Fast and the Furious ,272223,988,English,PG13,38000000,2001,6.7,2.35,9,Action,3,2,1
train,1,362,166,127490802,The Curious Case of Benjamin Button ,459346,822,English,PG13,150000000,2008,7.8,2.35,10,Drama,3,1,0
train,1,500,132,146405371,X-Men: First Class ,518537,698,English,PG13,160000000,2011,7.8,2.35,1,Action,3,2,1
train,1,389,137,281666058,The Hunger Games: Mockingjay - Part 2 ,166137,383,English,PG13,160000000,2015,6.6,2.35,5,Adventure,2,3,2
train,1,235,109,63143812,The Sorcerer's Apprentice ,124185,238,English,PG,150000000,2010,6.1,2.35,7,Action,4,1,0
train,1,231,98,60655503,Poseidon ,82380,629,English,PG13,160000000,2006,5.6,2.35,5,Action,4,0,1
train,1,218,113,76846624,Alice Through the Looking Glass ,21352,131,English,PG,170000000,2016,6.4,1.85,3,Adventure,3,2,2
train,1,227,93,320706665,Shrek the Third ,211971,326,English,PG,160000000,2007,6.1,1.85,2,Adventure,5,0,0
train,1,275,123,46978995,Warcraft ,111609,781,English,PG13,160000000,2016,7.3,2.35,2,Action,3,0,0
train,1,474,126,89732035,Terminator Genisys ,188457,867,English,PG13,155000000,2015,6.6,2.35,2,Action,3,1,1
train,1,228,113,104383624,The Chronicles of Narnia: The Voyage of the Dawn Treader ,106446,227,English,PG,155000000,2010,6.3,1.78,5,Adventure,3,0,0
train,0,191,184,198539855,Pearl Harbor ,254111,1999,English,PG13,140000000,2001,6.1,2.35,12,Action,5,1,0
train,1,396,144,318759914,Transformers ,513158,1782,English,PG13,150000000,2007,7.1,2.35,12,Action,3,0,0
train,1,318,102,227946274,Hancock ,343648,590,English,PG13,150000000,2008,6.4,2.35,6,Action,2,2,0
train,1,323,104,256386216,I Am Legend ,530870,1413,English,PG13,150000000,2007,7.2,2.35,5,Drama,3,1,0
train,1,276,115,206456431,Charlie and the Chocolate Factory ,320284,1361,English,PG,150000000,2005,6.7,1.85,14,Adventure,4,2,1
train,1,318,111,206435493,Ratatouille ,473887,626,English,G,150000000,2007,8,2.35,5,Animation,4,0,0
train,1,478,128,205343774,Batman Begins ,980946,2685,English,PG13,150000000,2005,8.3,2.35,8,Action,2,3,1
train,1,167,89,179982968,Madagascar: Escape 2 Africa ,146019,119,English,PG,150000000,2008,6.7,1.85,5,Action,5,2,0
train,1,185,105,177243721,Night at the Museum: Battle of the Smithsonian ,130272,209,English,PG,150000000,2009,5.9,2.35,11,Adventure,4,2,1
train,1,350,119,179883016,X-Men Origins: Wolverine ,361924,641,English,PG13,150000000,2009,6.7,2.35,3,Action,5,2,1
train,1,406,102,400736600,Frozen ,421658,904,English,PG,150000000,2013,7.6,2.24,1,Adventure,6,0,0
train,1,275,138,281492479,The Matrix Reloaded ,421818,2789,English,R,150000000,2003,7.2,2.35,5,Action,2,0,0
train,1,486,112,206360018,Thor: The Dark World ,414070,532,English,PG13,170000000,2013,7.1,2.35,2,Action,3,3,2
train,1,298,146,133375846,Angels & Demons ,207839,435,English,PG13,150000000,2009,6.7,2.35,12,Mystery,2,1,0
train,1,516,115,181015141,Thor ,536314,738,English,PG13,150000000,2011,7,2.35,3,Action,3,3,2
train,1,225,96,114053579,Bolt ,146766,178,English,PG,150000000,2008,6.9,1.85,1,Adventure,5,1,0
train,1,145,88,119420252,G-Force ,33042,90,English,PG,150000000,2009,5.1,2.35,1,Action,7,0,0
train,1,310,99,83640426,Wrath of the Titans ,152826,253,English,PG13,150000000,2012,5.8,1.85,5,Action,3,1,0
train,1,526,113,79711678,Dark Shadows ,199039,479,English,PG13,100000000,2012,6.2,1.85,14,Comedy,3,3,1
train,1,357,119,61937495,The Wolfman ,89442,432,English,R,150000000,2010,5.8,1.85,4,Drama,4,1,0
train,1,194,91,126597121,Bee Movie ,105902,206,English,PG,150000000,2007,6.2,1.85,1,Adventure,4,2,0
train,1,284,90,165230261,Kung Fu Panda 2 ,182718,209,English,PG,150000000,2011,7.3,2.35,1,Action,5,2,0
train,1,280,103,131564731,The Last Airbender ,118951,1382,English,PG,150000000,2010,4.2,2.35,9,Action,4,0,0
train,1,310,124,133382309,Mission: Impossible III ,256695,871,English,PG13,150000000,2006,6.9,2.35,4,Action,3,2,1
train,1,339,131,73103784,White House Down ,164238,434,English,PG13,150000000,2013,6.4,2.35,7,Action,3,1,0
train,1,132,88,21379315,Mars Needs Moms ,17590,112,English,PG,150000000,2011,5.4,2.35,2,Action,6,0,0
train,1,256,111,34964818,Pan ,39956,186,English,PG,150000000,2015,5.8,2.35,2,Adventure,3,1,1
train,1,196,92,111505642,Mr. Peabody & Sherman ,47900,130,English,PG,145000000,2014,6.9,1.85,4,Adventure,5,0,0
train,1,220,196,133228348,Troy ,381672,1694,English,R,175000000,2004,7.2,2.35,5,Adventure,1,1,0
train,1,211,93,216366733,Madagascar 3: Europe's Most Wanted ,119213,154,English,PG,145000000,2012,6.9,1.85,5,Adventure,4,1,0
train,1,464,116,118099659,Ghostbusters ,69757,1211,English,PG13,144000000,2016,5.5,2.35,4,Action,4,0,0
train,1,167,153,201573391,Armageddon ,322395,1171,English,PG13,140000000,1998,6.6,2.35,12,Action,4,2,0
train,1,208,88,190418803,Men in Black II ,270207,606,English,PG13,140000000,2002,6.1,1.85,7,Action,7,3,0
train,1,287,115,82161969,Beowulf ,142440,505,English,PG13,150000000,2007,6.3,2.35,13,Action,4,2,0
train,1,432,133,209364921,Mission: Impossible - Ghost Protocol ,365104,512,English,PG13,145000000,2011,7.4,2.35,5,Action,3,1,0
train,1,256,97,103400692,Rise of the Guardians ,123553,174,English,PG,145000000,2012,7.3,1.85,1,Adventure,4,1,1
train,1,135,90,110332737,Fun with Dick and Jane ,110788,258,English,PG13,100000000,2005,6.1,2.35,4,Comedy,2,0,0
train,1,190,154,111110575,The Last Samurai ,317166,928,English,R,140000000,2003,7.7,2.35,6,Action,4,1,0
train,1,291,121,403706375,Spider-Man ,544665,2012,English,PG13,139000000,2002,7.3,1.85,9,Action,4,3,1
train,1,292,102,176997107,How to Train Your Dragon 2 ,221128,343,English,PG,145000000,2014,7.9,2.35,3,Action,6,2,0
train,1,145,121,31704416,Stealth ,45455,388,English,PG13,135000000,2005,5,2.35,9,Action,4,1,0
train,1,451,215,107503316,Watchmen ,392474,1229,English,R,130000000,2009,7.7,2.35,7,Action,4,0,0
train,1,141,127,129734803,Lethal Weapon 4 ,127497,287,English,R,140000000,1998,6.6,2.35,8,Action,3,0,0
train,1,267,138,132122995,Hulk ,212106,1445,English,PG13,137000000,2003,5.7,1.85,7,Action,2,0,0
train,1,351,122,122512052,G.I. Joe: Retaliation ,146352,288,English,PG13,130000000,2013,5.8,2.35,5,Action,4,2,0
train,1,166,106,32131830,Final Fantasy: The Spirits Within ,72259,788,English,PG13,137000000,2001,6.4,1.85,1,Action,6,1,0
train,1,510,124,176636816,Captain America: The First Avenger ,508818,679,English,PG13,140000000,2011,6.9,2.35,4,Action,3,0,0
train,1,244,138,93926386,Master and Commander: The Far Side of the World ,168207,684,English,PG13,150000000,2003,7.4,2.35,4,Action,5,0,0
train,1,322,115,292298923,The Twilight Saga: Breaking Dawn - Part 2 ,185394,329,English,PG13,120000000,2012,5.5,2.35,5,Adventure,4,1,1
train,1,354,135,134518390,The Incredible Hulk ,326286,643,English,PG13,150000000,2008,6.8,2.35,3,Action,3,1,0
train,1,556,156,183635922,The Revenant ,406020,1188,English,R,135000000,2015,8.1,2.35,3,Adventure,4,1,2
train,1,362,107,123207194,Rango ,183208,337,English,PG,135000000,2011,7.2,2.35,7,Adventure,5,2,1
train,1,153,92,83348920,Penguins of Madagascar ,60230,118,English,PG,132000000,2014,6.7,1.85,5,Adventure,4,0,1
train,1,329,115,227137090,The Bourne Ultimatum ,491077,820,English,PG13,110000000,2007,8.1,2.35,4,Action,3,1,0
train,1,266,92,215395021,Kung Fu Panda ,307029,360,English,PG,130000000,2008,7.6,2.35,1,Action,5,1,0
train,1,517,117,180191634,Ant-Man ,313866,549,English,PG13,130000000,2015,7.4,1.85,4,Action,4,1,0
train,1,502,146,424645577,The Hunger Games: Catching Fire ,498397,706,English,PG13,130000000,2013,7.6,2.35,5,Adventure,3,2,1
train,1,165,94,177343675,Home ,70121,214,English,PG,135000000,2015,6.7,1.85,2,Adventure,6,0,0
train,1,94,147,138396624,Bad Boys II ,178126,511,English,R,130000000,2003,6.6,2.35,12,Action,4,1,0
train,1,246,90,149234747,Puss in Boots ,114287,137,English,PG,130000000,2011,6.7,2.35,2,Action,6,1,0
train,1,330,101,118311368,Salt ,245621,514,English,PG13,110000000,2010,6.4,2.35,5,Action,4,1,0
train,1,434,138,101160529,Noah ,200022,1240,English,PG13,125000000,2014,5.8,1.85,6,Action,3,1,0
train,1,440,107,77564037,The Adventures of Tintin ,177383,447,English,PG,135000000,2011,7.4,2.35,24,Action,4,0,0
train,1,349,100,60522097,After Earth ,158720,744,English,PG13,130000000,2013,4.9,2.35,9,Action,3,1,0
train,1,145,82,137748063,Dinosaur ,38438,241,English,PG,127500000,2000,6.5,1.85,1,Adventure,4,1,0
train,1,154,98,113733726,Night at the Museum: Secret of the Tomb ,67223,126,English,PG,127000000,2014,6.2,1.85,11,Adventure,4,2,1
train,1,233,95,148337537,Megamind ,172754,187,English,PG,130000000,2010,7.3,2.35,1,Action,5,3,1
train,1,208,96,33592415,R.I.P.D. ,91640,210,English,PG13,130000000,2013,5.6,2.35,6,Action,3,2,0
train,1,271,143,305388685,Pirates of the Caribbean: The Curse of the Black Pearl ,809474,2113,English,PG13,140000000,2003,8.1,2.35,7,Action,3,1,1
train,1,403,123,337103873,The Hunger Games: Mockingjay - Part 1 ,305008,591,English,PG13,125000000,2014,6.7,2.35,5,Adventure,3,3,2
train,1,294,174,217536138,The Da Vinci Code ,314253,1966,English,PG13,125000000,2006,6.6,2.35,12,Mystery,2,1,0
train,1,159,101,131536019,Rio 2 ,58498,99,English,G,103000000,2014,6.4,2.35,4,Adventure,5,0,0
train,1,342,132,209805005,Fast Five ,284792,366,English,PG13,125000000,2011,7.3,2.35,5,Action,3,3,1
train,1,382,129,186830669,Sherlock Holmes: A Game of Shadows ,338635,412,English,PG13,125000000,2011,7.5,2.35,3,Action,5,1,1
train,1,344,106,163192114,Clash of the Titans ,229679,637,English,PG13,125000000,2010,5.8,2.35,3,Action,3,1,0
train,1,196,113,119412921,Total Recall ,240241,391,English,R,65000000,1990,7.5,1.85,3,Action,2,0,0
train,1,85,102,32694788,The 13th Warrior ,101411,546,English,R,85000000,1999,6.6,2.35,9,Action,3,0,0
train,1,436,135,113165635,The Bourne Legacy ,229823,504,English,PG13,125000000,2012,6.7,2.35,3,Action,3,1,0
train,1,183,125,107285004,Batman & Robin ,189855,1018,English,PG13,125000000,1997,3.7,1.85,10,Action,1,1,0
train,1,175,110,260031035,How the Grinch Stole Christmas ,141414,482,English,PG,123000000,2000,6,1.85,12,Comedy,3,0,0
train,1,239,124,186739919,The Day After Tomorrow ,333248,1159,English,PG13,125000000,2004,6.4,2.35,7,Action,4,2,0
train,1,237,123,215397307,Mission: Impossible II ,242188,1426,English,PG13,125000000,2000,6.1,2.35,5,Action,3,1,0
train,1,231,130,182618434,The Perfect Storm ,133076,779,English,PG13,140000000,2000,6.4,2.35,5,Action,4,0,0
train,1,262,92,131920333,Fantastic 4: Rise of the Silver Surfer ,213275,436,English,PG,130000000,2007,5.6,2.35,6,Action,4,0,0
train,1,552,127,124976634,Life of Pi ,440084,755,English,PG,120000000,2012,8,1.85,7,Adventure,3,0,0
train,1,276,123,115802596,Ghost Rider ,182661,681,English,PG13,110000000,2007,5.2,2.35,2,Action,3,1,0
train,1,102,107,100685880,Charlie's Angels: Full Throttle ,100821,554,English,PG13,120000000,2003,4.8,2.35,6,Action,4,2,0
train,1,775,124,126464904,Prometheus ,456260,2326,English,R,130000000,2012,7,2.35,14,Adventure,3,1,0
train,1,71,77,64736114,Stuart Little 2 ,36471,69,English,PG,120000000,2002,5.4,1.85,4,Adventure,5,0,0
train,1,476,109,93050117,Elysium ,338087,814,English,R,115000000,2013,6.6,2.35,2,Action,4,1,0
train,1,207,134,57637485,The Chronicles of Riddick ,183909,666,English,PG13,105000000,2004,6.7,2.35,4,Action,4,1,0
train,1,492,117,58607007,RoboCop ,182899,630,English,PG13,100000000,2014,6.2,2.35,1,Action,4,1,0
train,1,168,121,30212620,How Do You Know ,35066,196,English,PG13,120000000,2010,5.3,1.85,3,Comedy,3,0,0
train,1,283,117,76418654,Knight and Day ,148280,348,English,PG13,117000000,2010,6.3,2.35,8,Action,3,1,0
train,1,539,124,89021735,Oblivion ,387436,892,English,PG13,120000000,2013,7,2.35,2,Action,4,2,0
train,1,359,140,380262555,Star Wars: Episode III - Revenge of the Sith ,520104,3286,English,PG13,113000000,2005,7.6,2.35,5,Action,4,2,1
train,1,284,142,310675583,Star Wars: Episode II - Attack of the Clones ,464310,3516,English,PG,115000000,2002,6.7,1.78,5,Action,4,2,1
train,1,250,92,289907418,"Monsters, Inc. ",585659,593,English,G,115000000,2001,8.1,1.85,3,Adventure,5,1,0
train,1,440,138,132550960,The Wolverine ,328067,533,English,PG13,120000000,2013,6.7,2.35,8,Action,4,1,1
train,1,320,136,474544677,Star Wars: Episode I - The Phantom Menace ,534658,3597,English,PG,115000000,1999,6.5,2.35,5,Action,4,2,1
train,1,257,98,187165546,The Croods ,150618,195,English,PG,135000000,2013,7.3,2.35,2,Adventure,5,3,0
train,1,152,153,40911830,Windtalkers ,55994,454,English,R,115000000,2002,6,2.35,5,Action,3,1,0
train,1,231,120,47952020,The Huntsman: Winter's War ,37750,134,English,PG13,115000000,2016,6.1,2.35,1,Action,4,2,1
train,1,348,101,190871240,Teenage Mutant Ninja Turtles ,167085,491,English,PG13,125000000,2014,5.9,2.35,5,Action,4,0,0
train,1,93,108,67155742,Dante's Peak ,62271,277,English,PG13,116000000,1997,5.8,2.35,4,Action,3,0,0
train,1,181,112,81638674,Teenage Mutant Ninja Turtles: Out of the Shadows ,17533,115,English,PG13,135000000,2016,6.3,2.35,2,Action,4,0,0
train,1,179,108,250863268,Night at the Museum ,234480,444,English,PG,110000000,2006,6.4,1.85,11,Action,5,2,1
train,1,358,114,155181732,San Andreas ,147497,499,English,PG13,110000000,2015,6.1,2.35,3,Action,4,1,0
train,1,192,142,113330342,The Patriot ,207613,1144,English,R,110000000,2000,7.1,2.35,7,Action,4,1,0
train,1,198,125,125531634,Ocean's Twelve ,284852,627,English,PG13,110000000,2004,6.4,2.35,14,Crime,2,2,0
train,1,233,126,186336103,Mr. & Mrs. Smith ,348861,798,English,PG13,120000000,2005,6.5,2.35,7,Action,5,2,0
train,1,263,119,129995817,Insurgent ,154621,258,English,PG13,110000000,2015,6.3,2.35,6,Adventure,3,2,0
train,0,267,170,102608827,The Aviator ,264318,799,English,PG13,110000000,2004,7.5,2.35,20,Biography,2,2,1
train,1,184,85,42776259,Gulliver's Travels ,53160,121,English,PG,112000000,2010,4.9,2.35,3,Adventure,4,0,0
train,1,447,119,98780042,The Green Hornet ,136019,443,English,PG13,120000000,2011,5.8,2.35,3,Action,5,1,0
train,1,366,102,106369117,300: Rise of an Empire ,225273,523,English,R,110000000,2014,6.2,2.35,1,Action,4,0,0
train,1,172,103,142614158,The Smurfs ,66593,153,English,PG,110000000,2011,5.5,1.78,6,Adventure,5,0,0
train,1,104,76,50026353,Home on the Range ,13581,88,English,PG,110000000,2004,5.4,1.78,1,Animation,5,1,0
train,1,181,120,66002193,Allegiant ,44296,144,English,PG13,110000000,2016,5.8,2.35,6,Action,5,1,0
train,1,125,105,71017784,The Smurfs 2 ,27257,59,English,PG,105000000,2013,5.4,1.85,6,Adventure,5,0,0
train,1,79,121,48068396,Speed 2: Cruise Control ,60573,248,English,PG13,160000000,1997,3.7,2.35,5,Action,4,0,0
train,1,354,129,134520804,Live Free or Die Hard ,336235,782,English,PG13,110000000,2007,7.2,2.35,2,Action,3,1,0
train,1,188,120,24004159,Around the World in 80 Days ,68720,191,English,PG,110000000,2004,5.8,2.35,7,Action,3,1,0
train,0,174,165,58183966,Ali ,79186,386,English,R,107000000,2001,6.8,2.35,6,Biography,3,2,0
train,1,109,82,100446895,The Cat in the Hat ,36033,456,English,PG,109000000,2003,3.8,1.85,1,Adventure,4,1,0
train,1,225,115,144795350,"I, Robot ",387632,789,English,PG13,120000000,2004,7.1,2.35,4,Action,4,2,0
train,1,228,97,104374107,The Princess and the Frog ,89351,214,English,G,105000000,2009,7.1,1.85,3,Animation,5,0,0
train,1,257,136,35799026,The Island ,263329,899,English,PG13,126000000,2005,6.9,2.35,12,Action,5,3,1
train,1,175,127,101643008,Gone in Sixty Seconds ,218341,498,English,PG13,90000000,2000,6.5,2.35,3,Action,3,3,0
train,1,265,171,187670866,Gladiator ,982637,2368,English,R,103000000,2000,8.5,2.35,14,Action,3,1,0
train,1,252,145,132014112,Minority Report ,399651,1331,English,PG13,102000000,2002,7.7,2.35,24,Action,4,1,0
train,1,230,119,180011740,Planet of the Apes ,177725,1368,English,PG13,100000000,2001,5.7,2.35,14,Action,4,0,0
train,1,210,153,204843350,Terminator 2: Judgment Day ,744891,983,English,R,102000000,1991,8.5,2.35,6,Action,2,0,0
train,1,357,140,97030725,Public Enemies ,230931,585,English,R,100000000,2009,7,2.35,6,Biography,5,2,2
train,1,300,176,130127620,American Gangster ,324671,458,English,R,100000000,2007,7.8,1.85,14,Biography,3,1,0
train,1,94,141,146282411,True Lies ,190439,351,English,R,115000000,1994,7.2,2.35,6,Action,3,1,0
train,1,267,106,65452312,The Taking of Pelham 1 2 3 ,149998,285,English,R,100000000,2009,6.4,2.35,10,Action,3,1,0
train,1,180,98,148383780,Little Fockers ,85531,152,English,PG13,100000000,2010,5.5,1.85,6,Comedy,2,1,1
train,1,265,116,119219978,The Other Guys ,189806,316,English,PG13,100000000,2010,6.7,2.35,6,Action,3,2,0
train,1,81,115,101228120,Eraser ,84424,131,English,R,100000000,1996,6.1,2.35,5,Action,4,0,0
train,1,80,91,100117603,The Hunchback of Notre Dame ,102933,230,English,G,100000000,1996,6.9,1.78,2,Animation,5,1,0
train,1,141,78,89296573,The Emperor's New Groove ,128285,297,English,G,100000000,2000,7.3,1.66,3,Adventure,5,0,0
train,1,383,103,85017401,The Expendables 2 ,246803,474,English,R,92000000,2012,6.7,2.35,8,Action,3,3,1
