Id,Predicted
Pinocchio ,7.7578502141876795
42 ,6.677502770005542
Vantage Point ,6.410848875051212
Shall We Dance ,5.752781937423935
The Prestige ,9.177699959775602
Gothika ,5.742725712745264
Amistad ,7.388759245894529
The Guilt Trip ,5.618897082853131
Scream 4 ,6.280208430033337
Pay It Forward ,6.53945868534115
A Million Ways to Die in the West ,6.8288952196753225
Morning Glory ,5.965655798703043
Memoirs of an Invisible Man ,5.847657700090849
Soul Men ,6.043358273423716
The Ugly Truth ,6.440371621716799
Sgt. Bilko ,5.639489772642651
The Express ,6.625906715976139
What to Expect When You're Expecting ,6.074632014851482
Cop Out ,6.2956657059844225
Hot Tub Time Machine ,6.530255966622489
Aloha ,5.8583583383869
Ghosts of Mississippi ,6.387582437464982
A Nightmare on Elm Street ,6.486002238487483
Radio ,6.367238179555756
Must Love Dogs ,5.628825206732322
The Bad News Bears ,6.393330524438835
Hot Pursuit ,5.43207736130262
Lions for Lambs ,6.7035458543721855
Stigmata ,5.528325619121549
Cats Don't Dance ,6.043356486534971
The Good German ,6.888903864706755
Going the Distance ,6.018724260634243
Vacation ,6.230137087264219
The Addams Family ,6.166368931961932
Glory Road ,6.43956222579565
Sicario ,7.168652187641413
The Age of Adaline ,6.53714135221665
Little Shop of Horrors ,6.240850307274852
Hanna ,6.636712366301512
What's the Worst That Could Happen? ,5.611652142939424
Virtuosity ,5.939423438648536
Love & Other Drugs ,6.784005377841858
88 Minutes ,6.453489516012878
Mumford ,6.280736910966182
Straight Outta Compton ,7.733768952789358
Blade Runner ,8.020505792585801
3 Days to Kill ,5.982408438007209
The Right Stuff ,7.271311188910958
Shakespeare in Love ,6.620917485635824
Open Range ,6.872888720437856
Pain & Gain ,7.165529310912295
The Passion of the Christ ,6.764061931804328
The Best of Me ,6.042858519709174
Agent Cody Banks ,5.771879751159476
Money Talks ,5.860365030620648
There Will Be Blood ,8.202196241415706
He Got Game ,6.983395607216346
Don Juan DeMarco ,5.8545238314034975
Lords of Dogtown ,6.375403210218042
Mrs. Winterbourne ,5.754180754620088
Tank Girl ,5.949000031033089
King's Ransom ,5.425811608278932
Jane Got a Gun ,5.677732965489641
Old School ,6.405662648545533
The Fisher King ,6.642091700711519
"Girl, Interrupted ",7.164674194676335
Muppets from Space ,6.136763639266035
Play It to the Bone ,6.157482878316156
I Don't Know How She Does It ,5.660372479357312
Zombieland ,7.889037810133735
Marvin's Room ,6.290817114749772
Vanity Fair ,6.444723135258478
Spaceballs ,6.664690116718004
Delivery Man ,5.827575471934246
The Conjuring ,7.047439500366159
White Chicks ,5.82027198763368
Lakeview Terrace ,6.201316435659885
Vampires Suck ,5.5561077056911845
Nancy Drew ,5.821487079684721
Shorts ,5.727315395317195
Psycho ,8.002774724499599
Under the Rainbow ,6.01490675363794
The Weather Man ,6.287934462475112
Ghost Town ,6.123482655040864
We're No Angels ,5.992678818234273
People I Know ,6.0777799978370055
Take Me Home Tonight ,5.923130852901283
Indignation ,6.031423170829591
Deuce Bigalow: Male Gigolo ,6.141321012396074
My Big Fat Greek Wedding 2 ,5.616283359598125
Peggy Sue Got Married ,6.2510234289088995
Honey ,6.223240531350524
Small Time Crooks ,6.3982422581954514
Youth in Revolt ,6.352697013763496
The Salton Sea ,6.236752243525406
Let's Be Cops ,6.120344483033174
Good Boy! ,5.669954527475227
Lottery Ticket ,5.431893622078387
ATL ,5.608509525017917
Fur: An Imaginary Portrait of Diane Arbus ,6.6401792754633755
Sense and Sensibility ,6.986079296169358
Dead Poets Society ,7.070274548307734
The Women ,5.850731472010455
Boys and Girls ,5.690982491505737
How to Deal ,5.600969458637445
Philadelphia ,7.00413101768682
Why Did I Get Married? ,5.699812143933072
The Great Debaters ,6.569985131003291
The Object of My Affection ,6.083316697857933
When the Game Stands Tall ,6.071873427028555
The Place Beyond the Pines ,7.636138863260203
One Day ,6.6438947348853725
The Midnight Meat Train ,6.050531846331057
The Good Night ,5.745682283850591
Pretty Woman ,7.107326357070759
My Bloody Valentine ,5.778294034960965
Stomp the Yard ,6.127597379436395
Poetic Justice ,6.510139181430818
Thinner ,5.875295385977892
Margaret ,6.93239504667648
Justin Bieber: Never Say Never ,7.2763434761245405
10 Things I Hate About You ,6.40857423468728
Loaded Weapon 1 ,5.718811198053876
Admission ,5.842664460802124
Antwone Fisher ,6.504099808885051
The Exorcist ,7.38386606319734
Jaws ,8.896264541122417
Act of Valor ,6.145878895030791
Harold & Kumar Escape from Guantanamo Bay ,6.454573615334972
Max Keeble's Big Move ,5.714548655410228
Sorority Boys ,5.777545340410662
For Your Consideration ,5.756356299529963
Running with Scissors ,6.13873746245789
The Pursuit of D.B. Cooper ,6.302796255120515
The Dangerous Lives of Altar Boys ,5.9412406983771975
Tomcats ,5.884543780835934
Inside Llewyn Davis ,7.6604411072470615
September Dawn ,6.25272124600624
Good Will Hunting ,8.585250698786044
Saw III ,6.032637303261723
Commando ,6.313387064471336
Pete's Dragon ,5.459202485503701
The Long Riders ,6.280010341937434
Seeking a Friend for the End of the World ,6.834668768525514
Rescue Dawn ,6.531308463732861
The Forest ,5.087413191121281
The Joneses ,6.1318146005082825
Rosewater ,6.356120432823073
Elsa & Fred ,5.389440421409613
Eulogy ,5.838826825295699
Next Friday ,6.053623707847913
Re-Kill ,5.263813227629382
Fiddler on the Roof ,7.732196728336372
Detention ,5.883446103557918
The Sound of Music ,8.312020572867102
Drive Me Crazy ,5.700255023934703
The Wendell Baker Story ,5.58142564119836
Witless Protection ,5.4493707507375975
The Godfather ,10.483032574484701
Who's Your Caddy? ,5.429980655731083
Redbelt ,6.462839412746444
Stargate: The Ark of Truth ,5.5868655964955565
Dazed and Confused ,6.664869449023502
Bernie ,6.255975517476112
Ouija ,5.62121042610667
"20,000 Leagues Under the Sea ",7.307508046689258
Oculus ,5.989437391329725
"As Above, So Below ",5.509256630250409
Friday the 13th Part VIII: Jason Takes Manhattan ,6.481375150177065
Diner ,6.5508469417601916
The Forsaken ,5.207182532437037
Rabbit Hole ,6.453052308590449
Green Room ,6.616556323065061
Dead Like Me: Life After Death ,5.6792761590281025
Capricorn One ,6.425404849625006
Hostel ,5.775458012250799
25th Hour ,7.316482587571983
Silent Movie ,6.302666416792568
Hansel & Gretel Get Baked ,5.6439333048726805
The Front Page ,6.4175373153361726
The Rules of Attraction ,6.271091879104517
Topaz ,7.064764847424856
Samsara ,6.851487714587183
Trust ,6.160742871488561
Another Happy Day ,5.867364509699284
Midnight Cowboy ,7.2757815421786045
The Nun's Story ,7.4276145031639
Harper ,6.534291549247309
The Original Kings of Comedy ,6.337413846759489
Dave Chappelle's Block Party ,6.050806549692526
Next Day Air ,5.582361312211979
Bachelorette ,6.039069030897434
Enter the Dangerous Mind ,5.419734563095626
Pocketful of Miracles ,6.872887379849949
Hustle & Flow ,6.501593773182146
The Wizard of Oz ,8.333144056102936
A Guy Named Joe ,7.475280388546563
Timber Falls ,5.22921816533595
That Thing You Do! ,6.483706300487957
Get on the Bus ,6.817097915216794
Friday the 13th: A New Beginning ,5.859041121487411
It Follows ,6.452460747892567
Full Frontal ,6.283530819180925
Sherrybaby ,6.2515989936712195
Rockaway ,5.4790416743567905
The Marine 4: Moving Target ,5.3429290324147924
"Happy, Texas ",5.784034389530341
Kids ,6.634575773084852
Kissing Jessica Stein ,6.0688734040884444
The Believer ,6.649346680604341
Snow Angels ,6.412402138166623
Session 9 ,5.481599434450226
Hatchet ,6.245955843042599
Checkmate ,5.435504581691015
The Hebrew Hammer ,5.92688292333262
C.H.U.D. ,5.797296926319481
Extreme Movie ,5.4517487563721625
Sands of Iwo Jima ,7.076324450610166
Next Stop Wonderland ,6.0709808689728755
Obvious Child ,5.737851345882581
Frozen River ,6.351983945989287
Special ,5.769219943496225
Hits ,5.631226500263798
Black Rock ,5.0578288043024875
Charly ,6.901317727913584
The Brass Teapot ,5.744543049547953
Safety Not Guaranteed ,6.406222027243064
L.I.E. ,5.9543670563561175
Adulterers ,5.765982128340904
To Save a Life ,5.952198895878196
Beyond the Mat ,6.568203442541184
The Little Ponderosa Zoo ,4.814582506256967
42nd Street ,7.773588826392958
Paranormal Activity ,6.177669194550485
I Want Your Money ,6.572604061154215
The Broadway Melody ,7.042970478947333
Pieces of April ,5.787145668695776
Lovely & Amazing ,5.964147661607045
Death Calls ,5.671958484575099
An American Girl Holiday ,6.1641760978128275
A Charlie Brown Christmas ,5.89787398633614
Facing the Giants ,6.0937594319301756
The Call of Cthulhu ,5.621510343797493
Raymond Did It ,5.0913975864687
